name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0830,32000,49152,0,0,0.0,2,Running,11460295,11460446,11460298.0
openb-pod-0831,12500,57344,0,0,0.0,1,Running,10534465,10534939,10534502.0
openb-pod-0832,16000,31250,0,0,0.0,1,Running,11544404,11544560,11544408.0
openb-pod-0833,12500,57344,0,0,0.0,1,Running,10200734,10208292,10200772.0
openb-pod-0834,8000,30517,0,0,0.0,2,Running,10436392,10437154,10436392.0
openb-pod-0835,32000,49152,0,0,0.0,2,Running,11175546,11175690,11175550.0
openb-pod-0836,32000,49152,0,0,0.0,2,Running,12794446,12796426,12794450.0
openb-pod-0837,12500,57344,0,0,0.0,1,Running,11556813,11557292,11556817.0
openb-pod-0838,12500,57344,0,0,0.0,1,Running,12531644,12533192,12531646.0
openb-pod-0840,32000,49152,0,0,0.0,2,Running,12310608,12310762,12310613.0
openb-pod-0841,12500,57344,0,0,0.0,1,Running,11342524,11343367,11342559.0
openb-pod-0842,12500,57344,0,0,0.0,1,Running,10366864,10370276,10366900.0
openb-pod-0843,32000,49152,0,0,0.0,2,Running,11387406,11387587,11387409.0
openb-pod-0844,15400,51200,0,0,0.0,1,Running,10725873,10726332,10725906.0
openb-pod-0845,12500,57344,0,0,0.0,1,Running,12430923,12431710,12430925.0
